( 2023/02/09 17:11:46.344) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/09 17:12:27.750) #left_data: ,1.37,0.16,0.79,1.83,0,1.85,4.4,3.7
( 2023/02/09 17:12:27.810) #left_data: ,1.78,0.53,1.03,1.8,0,1.11,2.39,1.18
( 2023/02/09 17:12:27.868) #left_data: ,1.78,0.53,1.03,1.8,0,1.11,2.39,1.18
( 2023/02/09 17:12:27.929) #left_data: ,2.7,0.49,0.73,1.87,0,0.21,0.32,0.58
( 2023/02/09 17:12:27.997) #left_data: ,3.58,1.78,1.65,1.99,0,1.26,0.94,0.23
( 2023/02/09 17:12:28.066) #left_data: ,3.58,1.78,1.65,1.99,0,1.26,0.94,0.23
( 2023/02/09 17:12:28.125) #left_data: ,5.18,4.59,3.25,1.76,0,0.36,0,0
( 2023/02/09 17:12:28.186) #left_data: ,4.96,3.32,0.75,1.07,0,0,0,0
( 2023/02/09 17:12:28.254) #left_data: ,4.96,3.32,0.75,1.07,0,0,0,0
( 2023/02/09 17:12:28.329) #left_data: ,0.05,0,0,0.03,0,0,0,0
( 2023/02/09 17:12:28.395) #left_data: ,0.06,0,0,0,0,0,0,0
( 2023/02/09 17:12:28.455) #left_data: ,0.07,0,0,0,0,0,0,0
( 2023/02/09 17:12:28.517) #left_data: ,0.08,0,0,0,0,0,0,0
( 2023/02/09 17:12:28.586) #left_data: ,0.1,0,0,0.01,0,0,0,0
( 2023/02/09 17:12:28.653) #left_data: ,0.06,0,0,0.01,0,0,0,0
( 2023/02/09 17:12:28.718) #left_data: ,0.02,0,0,0,0,0,0,0
( 2023/02/09 17:12:28.778) #left_data: ,0.02,0,0,0,0,0,0,0
( 2023/02/09 17:12:28.840) #left_data: ,0,0,0,0.01,0,0,0.92,0.62
( 2023/02/09 17:12:28.911) #left_data: ,0.54,0,0,1.22,0,0.49,4.9,4.9
( 2023/02/09 17:12:28.983) #left_data: ,0.54,0,0,1.22,0,0.49,4.9,4.9
( 2023/02/09 17:12:29.053) #left_data: ,1.13,0,0.61,1.45,0,1.99,3.82,3.99
( 2023/02/09 17:12:29.115) #left_data: ,0,0.13,1.03,1.99,0,2.13,1.41,1.85
( 2023/02/09 17:12:29.177) #left_data: ,0,0.13,1.03,1.99,0,2.13,1.41,1.85
( 2023/02/09 17:12:29.244) #left_data: ,1.59,1.27,1.63,2.44,0,1.49,0.85,0.39
( 2023/02/09 17:12:29.311) #left_data: ,1.59,1.27,1.63,2.44,0,1.49,0.85,0.39
( 2023/02/09 17:12:29.377) #left_data: ,2.58,1.55,2.42,2.89,0,0.94,0.08,0
( 2023/02/09 17:12:29.441) #left_data: ,4.17,2.67,3.47,2.67,0,0.21,0,0
( 2023/02/09 17:12:29.504) #left_data: ,3.22,0.11,1.12,1.19,0,0,0,0
( 2023/02/09 17:12:29.571) #left_data: ,3.22,0.11,1.12,1.19,0,0,0,0
( 2023/02/09 17:12:29.642) #left_data: ,0.01,0,0,0.03,0,0,0,0
( 2023/02/09 17:12:29.713) #left_data: ,0.01,0,0,0.01,0,0,0,0
( 2023/02/09 17:12:29.781) #left_data: ,0.06,0,0,0,0,0,0,0
( 2023/02/09 17:12:29.842) #left_data: ,0.06,0,0,0,0,0,0,0
( 2023/02/09 17:12:29.900) #left_data: ,0.04,0,0,0,0,0,0,0
( 2023/02/09 17:12:29.961) #left_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 17:12:30.028) #left_data: ,0.01,0,0,0.04,0,0,0,0
( 2023/02/09 17:12:30.093) #left_data: ,0,0,0,0,0,0.02,3.43,2.31
( 2023/02/09 17:12:30.153) #left_data: ,0.45,0,0,1.17,0,1.01,5.92,5.99
( 2023/02/09 17:12:30.216) #left_data: ,1.8,0,0.4,1.01,0,1.41,5.6,4.59
( 2023/02/09 17:12:30.285) #left_data: ,3.4,0.48,1.08,1.45,0.01,1.23,4.12,1.83
( 2023/02/09 17:12:30.353) #left_data: ,4.03,1.04,0.32,1.37,0,0.49,1.32,0.74
( 2023/02/09 17:12:30.418) #left_data: ,4.26,1.22,0.7,1.51,0,0.06,0.79,0.24
( 2023/02/09 17:12:30.477) #left_data: ,4.35,0.3,1.07,1.55,0,1.22,0.47,0.08
( 2023/02/09 17:12:30.537) #left_data: ,4.35,0.3,1.07,1.55,0,1.22,0.47,0.08
( 2023/02/09 17:12:30.600) #left_data: ,4.96,0.81,1.61,1.85,0,1.26,0.25,0.03
( 2023/02/09 17:12:30.672) #left_data: ,6.13,2.61,2.89,2.01,0,0.56,0,0
( 2023/02/09 17:12:30.738) #left_data: ,5.3,1.26,1.45,0.58,0,0,0,0
( 2023/02/09 17:12:30.798) #left_data: ,1.59,0.09,0.32,0.37,0,0,0,0
( 2023/02/09 17:12:30.860) #left_data: ,0.08,0,0,0.1,0,0,0,0
( 2023/02/09 17:12:30.926) #left_data: ,0.05,0,0,0.03,0,0,0,0
( 2023/02/09 17:12:30.995) #left_data: ,0.01,0,0,0.02,0,0,0,0
( 2023/02/09 17:12:31.064) #left_data: ,0.01,0,0,0.02,0,0,0,0
( 2023/02/09 17:12:31.129) #left_data: ,0,0,0,0,0,0,0,0
( 2023/02/09 17:12:31.190) #left_data: ,0,0,0.01,0.09,0,0,0,0
( 2023/02/09 17:12:31.255) #left_data: ,0.02,0,0,0,0,0,0,0
( 2023/02/09 17:12:31.325) #left_data: ,0,0,0,0.02,0,0.01,2.89,2.42
( 2023/02/09 17:12:31.398) #left_data: ,0.57,0,0,1.06,0,1.24,5.48,5.54
( 2023/02/09 17:12:31.463) #left_data: ,1.18,0,0.7,1.53,0,2.01,4.64,4.17
( 2023/02/09 17:12:31.524) #left_data: ,1.85,0.21,0.26,2.58,0,2.56,1.36,0.87
( 2023/02/09 17:12:31.586) #left_data: ,1.85,0.21,0.26,2.58,0,2.56,1.36,0.87
( 2023/02/09 17:12:31.653) #left_data: ,1.85,0.21,0.26,2.58,0,2.56,1.36,0.87
( 2023/02/09 17:12:31.723) #left_data: ,2.28,0.66,1.61,2.82,0,1.94,0.18,0.1
( 2023/02/09 17:12:31.790) #left_data: ,2.76,0.77,1.96,3.08,0,1.55,0.01,0
( 2023/02/09 17:12:31.852) #left_data: ,3.51,0.08,2.34,3.15,0,1.65,0.14,0.04
( 2023/02/09 17:12:31.914) #left_data: ,3.51,0.08,2.34,3.15,0,1.65,0.14,0.04
( 2023/02/09 17:12:31.980) #left_data: ,4.17,1.26,3.25,3.62,0,0.66,0,0
( 2023/02/09 17:12:32.044) #left_data: ,3.15,0.21,0.18,1.45,0,0,0,0
( 2023/02/09 17:12:32.112) #left_data: ,0.71,0,0,0.45,0,0,0,0
( 2023/02/09 17:12:32.173) #left_data: ,0.08,0,0,0.09,0,0,0,0
( 2023/02/09 17:12:32.234) #left_data: ,0.04,0,0,0.03,0,0,0,0
( 2023/02/09 17:12:32.299) #left_data: ,0.06,0,0,0.01,0,0,0,0
( 2023/02/09 17:12:32.370) #left_data: ,0.04,0,0,0,0,0,0,0
( 2023/02/09 17:12:32.437) #left_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 17:12:32.501) #left_data: ,0.03,0,0,0.05,0,0,0,0
( 2023/02/09 17:12:32.562) #left_data: ,0.03,0,0,0.05,0,0,0,0
( 2023/02/09 17:12:32.626) #left_data: ,0.01,0,0,0.19,0,0.24,3.7,3.99
( 2023/02/09 17:12:32.694) #left_data: ,0.62,0,0.15,0.66,0,1.55,4.96,5.18
( 2023/02/09 17:12:32.765) #left_data: ,4.17,0.93,0.21,1.8,0,1.72,1.13,0.32
( 2023/02/09 17:12:32.827) #left_data: ,4.17,0.93,0.21,1.8,0,1.72,1.13,0.32
( 2023/02/09 17:12:32.889) #left_data: ,4.49,1.09,0.38,1.51,0,0.7,0.36,0.41
( 2023/02/09 17:12:32.952) #left_data: ,4.49,1.2,0.65,1.51,0,0.38,0.12,0.13
( 2023/02/09 17:12:33.021) #left_data: ,4.96,0.73,1.09,1.57,0,0.22,0.13,0.09
( 2023/02/09 17:12:33.091) #left_data: ,5.42,1.37,1.49,1.85,0,0.58,0.31,0.24
