( 2023/02/09 15:59:18.379) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/09 16:00:08.024) #right_data: ,0.04,0.09,0.15,0.21,0,0.29,1.18,0.18
( 2023/02/09 16:00:08.093) #right_data: ,0.05,0.1,0.15,0.22,0,0.29,1.12,0.15
( 2023/02/09 16:00:08.163) #right_data: ,0.05,0.1,0.15,0.23,0,0.29,1.12,0.16
( 2023/02/09 16:00:08.228) #right_data: ,0.05,0.1,0.15,0.23,0,0.29,1.12,0.15
( 2023/02/09 16:00:08.291) #right_data: ,0.05,0.1,0.16,0.24,0,0.3,1.12,0.13
( 2023/02/09 16:00:08.363) #right_data: ,0.05,0.1,0.16,0.24,0,0.3,1.11,0.16
( 2023/02/09 16:00:08.432) #right_data: ,0.05,0.1,0.16,0.24,0,0.3,1.11,0.16
( 2023/02/09 16:00:08.504) #right_data: ,0.05,0.09,0.15,0.23,0,0.3,1.16,0.19
( 2023/02/09 16:00:08.565) #right_data: ,0.06,0.1,0.15,0.23,0,0.3,1.12,0.19
( 2023/02/09 16:00:08.626) #right_data: ,0.06,0.1,0.15,0.24,0,0.3,1.18,0.19
( 2023/02/09 16:00:08.696) #right_data: ,0.06,0.1,0.15,0.24,0,0.3,1.19,0.22
( 2023/02/09 16:00:08.767) #right_data: ,0.06,0.09,0.15,0.24,0,0.3,1.18,0.21
( 2023/02/09 16:00:08.839) #right_data: ,0.06,0.09,0.16,0.23,0,0.3,1.14,0.2
( 2023/02/09 16:00:08.905) #right_data: ,0.06,0.09,0.16,0.23,0,0.3,1.14,0.21
( 2023/02/09 16:00:08.967) #right_data: ,0.06,0.09,0.16,0.23,0,0.3,1.16,0.22
( 2023/02/09 16:00:09.036) #right_data: ,0.06,0.09,0.16,0.23,0,0.3,1.16,0.19
( 2023/02/09 16:00:09.109) #right_data: ,0.06,0.1,0.16,0.24,0,0.3,1.16,0.18
( 2023/02/09 16:00:09.179) #right_data: ,0.06,0.1,0.16,0.24,0,0.3,1.09,0.18
( 2023/02/09 16:00:09.241) #right_data: ,0.06,0.1,0.16,0.27,0,0.3,1.07,0.12
( 2023/02/09 16:00:09.307) #right_data: ,0.07,0.1,0.18,0.27,0,0.3,1.02,0.05
( 2023/02/09 16:00:09.376) #right_data: ,0.07,0.12,0.19,0.28,0,0.31,0.88,1.22
( 2023/02/09 16:00:09.447) #right_data: ,0.07,0.12,0.2,0.27,0,0.29,0.79,1.17
( 2023/02/09 16:00:09.517) #right_data: ,0.07,0.12,0.2,0.27,0,0.29,0.78,1.18
( 2023/02/09 16:00:09.581) #right_data: ,0.07,0.12,0.2,0.27,0,0.28,0.78,1.18
( 2023/02/09 16:00:09.641) #right_data: ,0.07,0.12,0.19,0.27,0,0.27,0.81,1.18
( 2023/02/09 16:00:09.709) #right_data: ,0.07,0.12,0.19,0.27,0,0.27,0.82,1.18
( 2023/02/09 16:00:09.779) #right_data: ,0.07,0.11,0.19,0.27,0,0.27,0.84,1.19
( 2023/02/09 16:00:09.852) #right_data: ,0.06,0.11,0.18,0.26,0,0.27,0.85,1.2
( 2023/02/09 16:00:09.915) #right_data: ,0.06,0.11,0.18,0.26,0,0.27,0.88,1.21
( 2023/02/09 16:00:09.976) #right_data: ,0.06,0.11,0.18,0.26,0,0.27,0.9,1.22
( 2023/02/09 16:00:10.043) #right_data: ,0.06,0.11,0.18,0.27,0,0.28,0.9,1.23
( 2023/02/09 16:00:10.114) #right_data: ,0.06,0.11,0.18,0.27,0,0.28,0.9,1.23
( 2023/02/09 16:00:10.186) #right_data: ,0.06,0.11,0.18,0.27,0,0.28,0.9,1.24
( 2023/02/09 16:00:10.247) #right_data: ,0.06,0.11,0.18,0.28,0,0.28,0.9,1.23
( 2023/02/09 16:00:10.311) #right_data: ,0.06,0.11,0.18,0.28,0,0.28,0.93,1.24
( 2023/02/09 16:00:10.379) #right_data: ,0.06,0.11,0.18,0.28,0,0.28,0.93,1.23
( 2023/02/09 16:00:10.448) #right_data: ,0.06,0.11,0.18,0.28,0,0.28,0.91,1.24
( 2023/02/09 16:00:10.523) #right_data: ,0.06,0.11,0.18,0.28,0,0.28,0.93,1.24
( 2023/02/09 16:00:10.586) #right_data: ,0.06,0.11,0.18,0.28,0,0.28,0.94,1.24
( 2023/02/09 16:00:10.658) #right_data: ,0.06,0.1,0.18,0.28,0,0.28,0.93,1.24
( 2023/02/09 16:00:10.727) #right_data: ,0.06,0.11,0.17,0.27,0,0.28,0.93,1.25
( 2023/02/09 16:00:10.800) #right_data: ,0.06,0.11,0.17,0.27,0,0.28,0.96,1.25
