( 2023/02/09 17:05:27.977) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/09 17:05:43.394) #right_data: ,0.28,0.0,0.02,0.0,0.0,0.08,5.48,4.75
( 2023/02/09 17:05:43.466) #right_data: ,0.61,0.0,0.0,0.03,0.0,0.72,5.79,4.9
( 2023/02/09 17:05:43.539) #right_data: ,0.88,0.0,0.0,0.42,0.0,0.04,4.49,4.08
( 2023/02/09 17:05:43.602) #right_data: ,0.88,0.0,0.0,0.42,0.0,0.04,4.49,4.08
( 2023/02/09 17:05:43.662) #right_data: ,1.16,0.0,0.07,0.99,0.0,0.79,2.21,1.83
( 2023/02/09 17:05:43.732) #right_data: ,1.16,0.0,0.07,0.99,0.0,0.79,2.21,1.83
( 2023/02/09 17:05:43.805) #right_data: ,1.3,0.39,0.72,1.1,0.02,0.38,1.18,0.08
( 2023/02/09 17:05:43.876) #right_data: ,2.64,1.19,0.98,1.13,0.03,0.16,1.11,0.65
( 2023/02/09 17:05:43.939) #right_data: ,5.42,3.29,0.34,0.88,0.0,0.21,0.0,0.0
( 2023/02/09 17:05:43.999) #right_data: ,5.79,1.01,0.71,0.28,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:44.067) #right_data: ,4.26,0.59,0.14,0.01,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:44.136) #right_data: ,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:44.208) #right_data: ,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:44.269) #right_data: ,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:44.333) #right_data: ,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:44.396) #right_data: ,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:44.467) #right_data: ,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:44.541) #right_data: ,0.4,0.0,0.0,0.0,0.0,0.0,0.08,0.07
( 2023/02/09 17:05:44.603) #right_data: ,0.3,0.0,0.0,0.0,0.0,0.0,0.99,0.79
( 2023/02/09 17:05:44.665) #right_data: ,0.43,0.0,0.0,0.0,0.0,0.0,0.79,0.11
( 2023/02/09 17:05:44.727) #right_data: ,0.22,0.0,0.0,0.01,0.0,0.17,5.48,3.99
( 2023/02/09 17:05:44.796) #right_data: ,0.33,0.0,0.0,0.02,0.0,0.18,6.13,4.35
( 2023/02/09 17:05:44.867) #right_data: ,0.27,0.0,0.0,0.04,0.0,0.2,6.2,4.49
( 2023/02/09 17:05:44.936) #right_data: ,1.15,0.08,0.0,0.17,0.0,0.3,5.86,4.54
( 2023/02/09 17:05:44.997) #right_data: ,1.16,0.16,0.03,0.23,0.0,0.36,5.36,4.3
( 2023/02/09 17:05:45.057) #right_data: ,1.16,0.16,0.03,0.23,0.0,0.36,5.36,4.3
( 2023/02/09 17:05:45.126) #right_data: ,1.16,0.16,0.03,0.23,0.0,0.36,5.36,4.3
( 2023/02/09 17:05:45.190) #right_data: ,5.01,5.01,0.44,1.12,0.0,0.2,0.02,0.0
( 2023/02/09 17:05:45.260) #right_data: ,5.92,5.86,0.57,0.72,0.0,0.03,0.0,0.0
( 2023/02/09 17:05:45.325) #right_data: ,4.17,0.38,0.06,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:45.392) #right_data: ,4.17,0.38,0.06,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:45.461) #right_data: ,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:45.532) #right_data: ,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:45.606) #right_data: ,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:45.669) #right_data: ,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:45.728) #right_data: ,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:45.787) #right_data: ,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:45.856) #right_data: ,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:45.925) #right_data: ,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:45.988) #right_data: ,0.23,0.0,0.0,0.0,0.0,0.0,5.12,4.49
( 2023/02/09 17:05:46.049) #right_data: ,0.47,0.0,0.0,0.0,0.0,0.17,6.34,5.54
( 2023/02/09 17:05:46.117) #right_data: ,0.52,0.0,0.0,0.01,0.0,0.25,6.49,5.66
( 2023/02/09 17:05:46.187) #right_data: ,0.52,0.0,0.0,0.01,0.0,0.25,6.49,5.66
( 2023/02/09 17:05:46.258) #right_data: ,0.51,0.0,0.0,0.03,0.0,0.41,6.27,5.36
( 2023/02/09 17:05:46.319) #right_data: ,0.6,0.0,0.0,0.43,0.0,0.97,4.59,4.08
( 2023/02/09 17:05:46.379) #right_data: ,0.6,0.0,0.0,0.43,0.0,0.97,4.59,4.08
( 2023/02/09 17:05:46.444) #right_data: ,0.6,0.0,0.0,0.43,0.0,0.97,4.59,4.08
( 2023/02/09 17:05:46.505) #right_data: ,0.73,0.87,1.15,0.08,0.01,0.38,0.51,1.04
( 2023/02/09 17:05:46.574) #right_data: ,2.7,0.98,0.62,0.57,0.02,0.11,0.47,0.28
( 2023/02/09 17:05:46.640) #right_data: ,4.4,2.61,1.32,0.78,0.0,0.97,0.01,0.0
( 2023/02/09 17:05:46.699) #right_data: ,6.27,2.01,0.84,0.28,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:46.759) #right_data: ,6.27,2.01,0.84,0.28,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:46.829) #right_data: ,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:46.900) #right_data: ,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:46.962) #right_data: ,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:47.024) #right_data: ,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:47.084) #right_data: ,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:47.152) #right_data: ,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:47.223) #right_data: ,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:47.295) #right_data: ,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:47.356) #right_data: ,0.19,0.0,0.0,0.0,0.0,0.0,1.87,0.84
( 2023/02/09 17:05:47.418) #right_data: ,0.47,0.0,0.0,0.0,0.0,0.01,5.73,4.64
( 2023/02/09 17:05:47.483) #right_data: ,0.63,0.0,0.0,0.0,0.0,0.08,6.06,4.9
( 2023/02/09 17:05:47.560) #right_data: ,0.79,0.0,0.0,0.01,0.0,0.25,6.88,5.54
( 2023/02/09 17:05:47.630) #right_data: ,0.72,0.0,0.0,0.04,0.0,0.33,6.72,5.54
( 2023/02/09 17:05:47.691) #right_data: ,0.84,0.0,0.0,0.05,0.0,0.36,6.34,5.24
( 2023/02/09 17:05:47.751) #right_data: ,0.84,0.0,0.0,0.05,0.0,0.36,6.34,5.24
( 2023/02/09 17:05:47.815) #right_data: ,0.84,0.0,0.0,0.05,0.0,0.36,6.34,5.24
( 2023/02/09 17:05:47.888) #right_data: ,0.84,0.0,0.0,0.05,0.0,0.36,6.34,5.24
( 2023/02/09 17:05:47.961) #right_data: ,0.84,0.0,0.0,0.05,0.0,0.36,6.34,5.24
( 2023/02/09 17:05:48.024) #right_data: ,5.86,4.85,0.99,0.93,0.0,0.11,0.0,0.0
( 2023/02/09 17:05:48.086) #right_data: ,6.2,1.99,0.46,0.02,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:48.154) #right_data: ,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:48.224) #right_data: ,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:48.297) #right_data: ,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:48.360) #right_data: ,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:48.420) #right_data: ,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:48.487) #right_data: ,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:48.558) #right_data: ,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:48.638) #right_data: ,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:48.713) #right_data: ,0.19,0.0,0.0,0.0,0.0,0.0,0.5,0.51
( 2023/02/09 17:05:48.772) #right_data: ,0.66,0.0,0.0,0.0,0.0,0.09,5.42,4.26
( 2023/02/09 17:05:48.839) #right_data: ,0.66,0.0,0.0,0.0,0.0,0.09,5.42,4.26
( 2023/02/09 17:05:48.911) #right_data: ,0.66,0.0,0.0,0.0,0.0,0.09,5.42,4.26
( 2023/02/09 17:05:48.983) #right_data: ,1.08,0.0,0.0,0.02,0.0,0.22,6.57,5.54
( 2023/02/09 17:05:49.048) #right_data: ,1.01,0.0,0.0,0.05,0.0,0.31,6.06,5.07
( 2023/02/09 17:05:49.105) #right_data: ,1.04,0.0,0.0,0.07,0.0,0.37,5.86,4.8
( 2023/02/09 17:05:49.172) #right_data: ,1.04,0.0,0.0,0.07,0.0,0.37,5.86,4.8
( 2023/02/09 17:05:49.244) #right_data: ,1.04,0.0,0.0,0.07,0.0,0.37,5.86,4.8
( 2023/02/09 17:05:49.316) #right_data: ,1.04,0.0,0.0,0.07,0.0,0.37,5.86,4.8
( 2023/02/09 17:05:49.377) #right_data: ,1.04,0.0,0.0,0.07,0.0,0.37,5.86,4.8
( 2023/02/09 17:05:49.437) #right_data: ,5.01,1.21,0.56,0.57,0.0,0.39,0.33,0.26
( 2023/02/09 17:05:49.502) #right_data: ,0.33,0.0,0.0,0.0,0.0,0.0,0.01,0.03
( 2023/02/09 17:05:49.571) #right_data: ,0.35,0.0,0.0,0.0,0.0,0.0,0.07,0.06
( 2023/02/09 17:05:49.641) #right_data: ,0.34,0.0,0.0,0.0,0.0,0.0,0.06,0.06
( 2023/02/09 17:05:49.703) #right_data: ,0.32,0.0,0.0,0.0,0.0,0.0,0.06,0.06
( 2023/02/09 17:05:49.765) #right_data: ,0.27,0.0,0.0,0.0,0.0,0.0,0.03,0.03
( 2023/02/09 17:05:49.830) #right_data: ,0.27,0.0,0.0,0.0,0.0,0.0,0.03,0.03
( 2023/02/09 17:05:49.901) #right_data: ,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.01
( 2023/02/09 17:05:49.971) #right_data: ,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:50.033) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.0,1.24,1.23
( 2023/02/09 17:05:50.093) #right_data: ,0.04,0.0,0.0,0.0,0.0,0.0,2.47,2.36
( 2023/02/09 17:05:50.159) #right_data: ,0.31,0.0,0.0,0.0,0.0,0.03,5.79,5.42
( 2023/02/09 17:05:50.229) #right_data: ,0.43,0.0,0.0,0.02,0.0,0.17,6.13,5.73
( 2023/02/09 17:05:50.299) #right_data: ,0.73,0.0,0.0,0.37,0.0,0.71,5.3,5.12
( 2023/02/09 17:05:50.361) #right_data: ,0.73,0.0,0.0,0.37,0.0,0.71,5.3,5.12
( 2023/02/09 17:05:50.424) #right_data: ,1.13,0.21,0.62,0.95,0.0,1.17,2.92,3.11
