( 2023/02/09 17:05:27.969) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/09 17:05:43.385) #left_data: ,4.45,3.4,1.63,0.93,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:43.456) #left_data: ,0.04,0.0,0.02,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:43.529) #left_data: ,0.04,0.0,0.02,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:43.597) #left_data: ,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:43.657) #left_data: ,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:43.721) #left_data: ,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:43.794) #left_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:43.866) #left_data: ,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:43.934) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:43.993) #left_data: ,0.0,0.0,0.0,0.07,0.0,0.03,2.34,1.78
( 2023/02/09 17:05:44.058) #left_data: ,0.0,0.0,0.0,0.45,0.0,0.4,4.64,4.3
( 2023/02/09 17:05:44.127) #left_data: ,0.0,0.0,0.0,0.45,0.0,0.4,4.64,4.3
( 2023/02/09 17:05:44.197) #left_data: ,0.04,0.0,0.14,0.62,0.0,0.71,5.3,5.01
( 2023/02/09 17:05:44.265) #left_data: ,0.04,0.03,0.15,0.56,0.0,0.57,5.12,4.49
( 2023/02/09 17:05:44.326) #left_data: ,0.07,0.07,0.18,0.62,0.0,0.61,4.85,4.26
( 2023/02/09 17:05:44.390) #left_data: ,0.09,0.1,0.21,0.66,0.0,0.65,4.8,4.26
( 2023/02/09 17:05:44.456) #left_data: ,0.17,0.33,0.46,0.9,0.0,0.79,4.35,3.7
( 2023/02/09 17:05:44.531) #left_data: ,0.85,0.04,1.21,1.25,0.0,1.14,1.61,0.09
( 2023/02/09 17:05:44.598) #left_data: ,0.85,0.04,1.21,1.25,0.0,1.14,1.61,0.09
( 2023/02/09 17:05:44.660) #left_data: ,4.26,2.89,1.43,0.76,0.0,0.03,0.0,0.0
( 2023/02/09 17:05:44.722) #left_data: ,3.08,0.77,0.3,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:44.788) #left_data: ,3.08,0.77,0.3,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:44.857) #left_data: ,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:44.929) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:44.992) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:45.052) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:45.116) #left_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:45.185) #left_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:45.251) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.44
( 2023/02/09 17:05:45.319) #left_data: ,0.0,0.0,0.0,0.23,0.0,0.28,5.92,5.42
( 2023/02/09 17:05:45.383) #left_data: ,0.01,0.0,0.0,0.76,0.0,0.76,6.2,5.73
( 2023/02/09 17:05:45.452) #left_data: ,0.01,0.0,0.03,0.83,0.0,0.85,6.27,5.86
( 2023/02/09 17:05:45.523) #left_data: ,0.03,0.0,0.09,0.91,0.0,0.9,5.79,5.18
( 2023/02/09 17:05:45.594) #left_data: ,0.05,0.0,0.18,0.94,0.0,0.87,4.96,4.26
( 2023/02/09 17:05:45.663) #left_data: ,0.06,0.0,0.41,1.16,0.0,0.98,4.4,3.7
( 2023/02/09 17:05:45.725) #left_data: ,0.13,0.05,0.46,1.26,0.0,1.04,4.54,3.78
( 2023/02/09 17:05:45.783) #left_data: ,0.29,0.37,0.75,0.27,0.0,0.95,4.54,3.58
( 2023/02/09 17:05:45.845) #left_data: ,0.99,1.19,1.25,1.01,0.0,1.14,2.06,0.12
( 2023/02/09 17:05:45.916) #left_data: ,2.47,2.36,1.94,1.53,0.0,0.78,0.02,0.0
( 2023/02/09 17:05:45.983) #left_data: ,4.3,2.5,1.41,1.18,0.0,0.13,0.0,0.0
( 2023/02/09 17:05:46.045) #left_data: ,4.17,0.83,0.5,0.14,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:46.107) #left_data: ,0.34,0.0,0.08,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:46.178) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:46.249) #left_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:46.315) #left_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:46.374) #left_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:46.436) #left_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:46.501) #left_data: ,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:46.564) #left_data: ,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:46.634) #left_data: ,0.0,0.0,0.0,0.02,0.0,0.0,0.24,0.17
( 2023/02/09 17:05:46.695) #left_data: ,0.0,0.0,0.0,0.11,0.0,0.05,4.17,3.51
( 2023/02/09 17:05:46.754) #left_data: ,0.04,0.0,0.0,0.48,0.0,0.34,5.18,4.69
( 2023/02/09 17:05:46.820) #left_data: ,0.04,0.0,0.0,0.48,0.0,0.34,5.18,4.69
( 2023/02/09 17:05:46.891) #left_data: ,0.23,0.24,0.49,0.43,0.0,0.42,5.3,4.69
( 2023/02/09 17:05:46.957) #left_data: ,0.31,0.46,0.68,0.56,0.0,0.45,4.54,3.74
( 2023/02/09 17:05:47.018) #left_data: ,0.33,0.63,0.88,0.74,0.0,0.51,3.99,3.32
( 2023/02/09 17:05:47.080) #left_data: ,0.39,0.82,1.14,0.97,0.0,0.67,3.66,2.89
( 2023/02/09 17:05:47.143) #left_data: ,0.39,0.82,1.14,0.97,0.0,0.67,3.66,2.89
( 2023/02/09 17:05:47.214) #left_data: ,0.23,0.85,1.12,0.25,0.0,0.85,0.66,0.79
( 2023/02/09 17:05:47.286) #left_data: ,2.61,2.58,2.44,0.57,0.0,0.63,0.07,0.0
( 2023/02/09 17:05:47.351) #left_data: ,4.3,3.62,2.56,1.14,0.0,0.18,0.0,0.0
( 2023/02/09 17:05:47.413) #left_data: ,4.3,3.62,2.56,1.14,0.0,0.18,0.0,0.0
( 2023/02/09 17:05:47.474) #left_data: ,3.66,0.68,0.21,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:47.549) #left_data: ,0.33,0.0,0.07,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:47.621) #left_data: ,0.08,0.0,0.01,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:47.687) #left_data: ,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:47.746) #left_data: ,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:47.808) #left_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:47.876) #left_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:47.951) #left_data: ,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0
( 2023/02/09 17:05:48.019) #left_data: ,0.0,0.0,0.0,0.05,0.0,0.0,0.99,0.13
( 2023/02/09 17:05:48.081) #left_data: ,0.09,0.0,0.0,0.26,0.0,0.21,3.22,1.94
( 2023/02/09 17:05:48.145) #left_data: ,0.56,0.15,0.32,0.41,0.0,0.38,4.75,3.4
( 2023/02/09 17:05:48.215) #left_data: ,0.78,0.48,0.49,0.58,0.0,0.47,4.96,3.55
( 2023/02/09 17:05:48.286) #left_data: ,0.93,0.72,0.65,0.76,0.0,0.54,4.35,3.01
( 2023/02/09 17:05:48.355) #left_data: ,0.87,0.75,0.65,0.78,0.0,0.52,3.86,2.53
( 2023/02/09 17:05:48.416) #left_data: ,0.85,0.8,0.79,0.9,0.0,0.61,3.47,2.23
( 2023/02/09 17:05:48.478) #left_data: ,0.9,0.83,0.88,1.04,0.0,0.73,3.08,1.96
( 2023/02/09 17:05:48.548) #left_data: ,0.98,0.94,1.05,1.25,0.0,0.91,2.13,0.68
( 2023/02/09 17:05:48.621) #left_data: ,0.42,0.15,0.42,0.47,0.0,1.09,1.25,0.7
( 2023/02/09 17:05:48.695) #left_data: ,0.42,0.15,0.42,0.47,0.0,1.09,1.25,0.7
( 2023/02/09 17:05:48.768) #left_data: ,4.96,0.15,0.97,0.3,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:48.830) #left_data: ,4.96,0.15,0.97,0.3,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:48.900) #left_data: ,0.87,0.0,0.04,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:48.973) #left_data: ,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:49.040) #left_data: ,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:49.102) #left_data: ,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:49.163) #left_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:49.234) #left_data: ,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:49.305) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11
( 2023/02/09 17:05:49.373) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11
( 2023/02/09 17:05:49.433) #left_data: ,0.01,0.0,0.0,0.08,0.0,0.09,5.3,4.03
( 2023/02/09 17:05:49.494) #left_data: ,0.34,0.08,0.04,0.15,0.0,0.34,6.13,4.69
( 2023/02/09 17:05:49.563) #left_data: ,0.49,0.43,0.29,0.27,0.02,0.47,6.2,4.96
( 2023/02/09 17:05:49.632) #left_data: ,0.68,0.86,0.63,0.63,0.04,0.68,5.18,3.78
( 2023/02/09 17:05:49.699) #left_data: ,0.69,1.01,0.91,0.95,0.01,0.92,1.63,1.51
( 2023/02/09 17:05:49.760) #left_data: ,0.58,0.83,1.07,1.21,0.0,0.99,1.24,1.0
( 2023/02/09 17:05:49.822) #left_data: ,0.58,0.83,1.07,1.21,0.0,0.99,1.24,1.0
( 2023/02/09 17:05:49.891) #left_data: ,0.76,0.87,0.05,0.54,0.0,1.22,1.17,1.0
( 2023/02/09 17:05:49.962) #left_data: ,0.27,0.32,1.04,1.21,0.0,0.08,0.66,0.36
( 2023/02/09 17:05:50.028) #left_data: ,5.07,2.92,2.73,1.22,0.0,0.23,0.0,0.0
( 2023/02/09 17:05:50.088) #left_data: ,5.07,2.92,2.73,1.22,0.0,0.23,0.0,0.0
( 2023/02/09 17:05:50.151) #left_data: ,5.66,0.34,1.13,0.36,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:50.220) #left_data: ,1.06,0.0,0.11,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:50.291) #left_data: ,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:50.357) #left_data: ,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:50.417) #left_data: ,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:50.482) #left_data: ,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:50.549) #left_data: ,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:50.621) #left_data: ,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:50.688) #left_data: ,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:50.749) #left_data: ,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:50.812) #left_data: ,0.0,0.0,0.0,0.02,0.0,0.0,2.58,1.23
( 2023/02/09 17:05:50.879) #left_data: ,0.07,0.0,0.02,0.28,0.0,0.29,5.3,4.45
( 2023/02/09 17:05:50.948) #left_data: ,0.07,0.01,0.16,0.34,0.0,0.52,5.6,5.12
( 2023/02/09 17:05:51.016) #left_data: ,0.04,0.0,0.18,0.47,0.0,0.64,5.6,5.3
( 2023/02/09 17:05:51.077) #left_data: ,0.08,0.11,0.25,0.56,0.0,0.63,5.36,4.8
