( 2023/02/09 19:19:36.468) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/09 19:19:48.217) #left_data: ,0.06,0.0,0.07,0.04,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:48.283) #left_data: ,0.1,0.0,0.1,0.28,0.0,0.4,0.55,1.04
( 2023/02/09 19:19:48.347) #left_data: ,0.1,0.0,0.1,0.28,0.0,0.4,0.55,1.04
( 2023/02/09 19:19:48.415) #left_data: ,0.38,0.5,0.89,1.08,0.0,1.11,4.08,3.11
( 2023/02/09 19:19:48.490) #left_data: ,0.74,0.32,0.91,0.85,0.0,0.84,4.69,3.62
( 2023/02/09 19:19:48.559) #left_data: ,1.07,1.43,1.67,1.51,0.0,1.3,4.21,3.15
( 2023/02/09 19:19:48.623) #left_data: ,0.45,1.43,1.99,1.63,0.0,0.9,0.65,0.94
( 2023/02/09 19:19:48.684) #left_data: ,0.45,1.43,1.99,1.63,0.0,0.9,0.65,0.94
( 2023/02/09 19:19:48.747) #left_data: ,0.42,1.02,1.85,1.59,0.0,0.75,0.28,0.88
( 2023/02/09 19:19:48.812) #left_data: ,0.96,1.09,1.26,1.57,0.0,1.23,3.18,1.96
( 2023/02/09 19:19:48.878) #left_data: ,0.96,1.09,1.26,1.57,0.0,1.23,3.18,1.96
( 2023/02/09 19:19:48.950) #left_data: ,0.69,0.66,1.25,0.93,0.0,0.85,4.4,3.36
( 2023/02/09 19:19:49.011) #left_data: ,2.79,2.61,3.4,2.61,0.0,1.78,1.26,0.62
( 2023/02/09 19:19:49.075) #left_data: ,2.79,2.61,3.4,2.61,0.0,1.78,1.26,0.62
( 2023/02/09 19:19:49.145) #left_data: ,3.66,1.96,3.95,1.87,0.0,0.53,0.0,0.0
( 2023/02/09 19:19:49.217) #left_data: ,0.25,0.0,0.12,0.07,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:49.288) #left_data: ,0.25,0.0,0.12,0.07,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:49.349) #left_data: ,0.07,0.0,0.1,0.02,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:49.411) #left_data: ,0.06,0.0,0.09,0.03,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:49.481) #left_data: ,0.05,0.0,0.08,0.03,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:49.554) #left_data: ,0.06,0.0,0.08,0.05,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:49.621) #left_data: ,0.07,0.0,0.09,0.07,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:49.679) #left_data: ,0.07,0.0,0.09,0.08,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:49.742) #left_data: ,0.07,0.0,0.14,0.13,0.0,0.28,1.61,0.22
( 2023/02/09 19:19:49.808) #left_data: ,0.45,0.7,0.86,0.77,0.0,0.78,3.95,2.58
( 2023/02/09 19:19:49.867) #left_data: ,0.59,1.12,0.09,1.26,0.0,0.21,5.12,4.03
( 2023/02/09 19:19:49.925) #left_data: ,0.52,1.04,0.66,0.81,0.0,1.14,5.01,4.17
( 2023/02/09 19:19:49.983) #left_data: ,0.49,1.05,0.85,1.09,0.0,1.39,4.26,3.47
( 2023/02/09 19:19:50.040) #left_data: ,0.41,0.65,0.65,1.19,0.0,1.57,3.29,2.42
( 2023/02/09 19:19:50.098) #left_data: ,0.41,0.65,0.65,1.19,0.0,1.57,3.29,2.42
( 2023/02/09 19:19:50.155) #left_data: ,0.27,0.33,1.25,1.18,0.0,1.69,2.85,2.23
( 2023/02/09 19:19:50.212) #left_data: ,0.28,0.37,0.12,1.32,0.0,1.89,3.22,2.58
( 2023/02/09 19:19:50.271) #left_data: ,0.31,0.35,0.15,1.32,0.0,1.99,3.62,3.08
( 2023/02/09 19:19:50.331) #left_data: ,0.39,0.36,0.06,1.16,0.0,1.99,3.86,3.25
( 2023/02/09 19:19:50.391) #left_data: ,0.97,0.98,1.21,1.39,0.0,2.01,3.62,2.79
( 2023/02/09 19:19:50.460) #left_data: ,0.97,0.98,1.21,1.39,0.0,2.01,3.62,2.79
( 2023/02/09 19:19:50.534) #left_data: ,4.03,2.95,4.45,3.11,0.0,0.85,0.0,0.0
( 2023/02/09 19:19:50.600) #left_data: ,3.55,0.75,2.03,0.7,0.0,0.17,0.0,0.0
( 2023/02/09 19:19:50.659) #left_data: ,0.41,0.0,0.08,0.13,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:50.720) #left_data: ,0.18,0.0,0.05,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:50.788) #left_data: ,0.12,0.0,0.06,0.01,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:50.858) #left_data: ,0.11,0.0,0.06,0.01,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:50.923) #left_data: ,0.08,0.0,0.07,0.03,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:50.988) #left_data: ,0.08,0.0,0.07,0.03,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:51.051) #left_data: ,0.06,0.0,0.08,0.07,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:51.122) #left_data: ,0.06,0.0,0.08,0.07,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:51.194) #left_data: ,0.06,0.0,0.08,0.07,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:51.261) #left_data: ,0.5,1.83,2.31,2.13,0.0,1.3,3.25,1.67
( 2023/02/09 19:19:51.321) #left_data: ,0.5,1.83,2.31,2.13,0.0,1.3,3.25,1.67
( 2023/02/09 19:19:51.382) #left_data: ,1.59,2.47,2.89,2.56,0.0,1.3,2.64,0.59
( 2023/02/09 19:19:51.449) #left_data: ,2.95,2.61,2.82,2.01,0.0,0.45,0.29,0.68
( 2023/02/09 19:19:51.521) #left_data: ,2.95,2.61,2.82,2.01,0.0,0.45,0.29,0.68
( 2023/02/09 19:19:51.591) #left_data: ,1.85,1.59,2.34,1.85,0.0,0.35,0.15,0.75
( 2023/02/09 19:19:51.654) #left_data: ,1.85,1.59,2.34,1.85,0.0,0.35,0.15,0.75
( 2023/02/09 19:19:51.715) #left_data: ,1.28,1.09,2.16,1.74,0.0,0.45,1.72,0.16
( 2023/02/09 19:19:51.787) #left_data: ,4.21,3.86,4.03,2.76,0.0,1.04,0.29,0.14
( 2023/02/09 19:19:51.857) #left_data: ,4.21,3.86,4.03,2.76,0.0,1.04,0.29,0.14
( 2023/02/09 19:19:51.926) #left_data: ,6.49,4.08,4.26,2.01,0.0,0.65,0.0,0.0
( 2023/02/09 19:19:51.989) #left_data: ,0.85,0.0,0.07,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:52.051) #left_data: ,0.28,0.0,0.09,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:52.114) #left_data: ,0.28,0.0,0.09,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:52.189) #left_data: ,0.23,0.0,0.07,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:52.260) #left_data: ,0.11,0.0,0.06,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:52.328) #left_data: ,0.08,0.0,0.06,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:52.390) #left_data: ,0.09,0.0,0.05,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:52.451) #left_data: ,0.1,0.0,0.03,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:52.523) #left_data: ,0.14,0.0,0.05,0.01,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:52.594) #left_data: ,0.14,0.0,0.05,0.01,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:52.661) #left_data: ,0.0,0.0,0.0,0.02,0.0,0.0,0.37,0.26
( 2023/02/09 19:19:52.721) #left_data: ,0.17,0.0,0.01,0.11,0.0,0.52,4.69,4.21
( 2023/02/09 19:19:52.782) #left_data: ,0.17,0.0,0.01,0.11,0.0,0.52,4.69,4.21
( 2023/02/09 19:19:52.849) #left_data: ,0.57,0.24,0.56,1.05,0.0,0.98,5.24,4.54
( 2023/02/09 19:19:52.915) #left_data: ,3.7,3.05,2.21,1.74,0.0,1.22,4.03,2.18
( 2023/02/09 19:19:52.980) #left_data: ,3.7,3.05,2.21,1.74,0.0,1.22,4.03,2.18
( 2023/02/09 19:19:53.041) #left_data: ,4.4,3.82,2.53,1.39,0.0,0.91,1.53,1.12
( 2023/02/09 19:19:53.103) #left_data: ,4.96,4.45,3.15,1.21,0.0,0.61,0.51,0.08
( 2023/02/09 19:19:53.169) #left_data: ,5.99,4.96,3.95,0.76,0.0,0.32,0.12,0.0
( 2023/02/09 19:19:53.240) #left_data: ,7.39,5.54,4.08,1.22,0.0,0.21,0.0,0.0
( 2023/02/09 19:19:53.308) #left_data: ,8.16,4.17,1.8,0.11,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:53.368) #left_data: ,8.16,4.17,1.8,0.11,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:53.431) #left_data: ,2.18,0.0,0.26,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:53.500) #left_data: ,0.16,0.0,0.06,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:53.568) #left_data: ,0.13,0.0,0.07,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:53.635) #left_data: ,0.13,0.0,0.07,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:53.696) #left_data: ,0.13,0.0,0.07,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:53.758) #left_data: ,0.13,0.0,0.08,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:53.824) #left_data: ,0.13,0.0,0.08,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:53.894) #left_data: ,0.13,0.0,0.1,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:53.961) #left_data: ,0.0,0.0,0.03,0.0,0.0,0.0,0.07,0.06
( 2023/02/09 19:19:54.027) #left_data: ,0.1,0.11,0.12,0.0,0.0,0.13,0.49,0.91
( 2023/02/09 19:19:54.088) #left_data: ,0.62,1.05,0.83,0.48,0.0,0.57,3.32,2.11
( 2023/02/09 19:19:54.151) #left_data: ,1.2,1.8,0.11,0.87,0.0,0.81,4.45,3.36
( 2023/02/09 19:19:54.222) #left_data: ,1.25,2.85,0.82,1.08,0.0,0.93,4.54,3.47
( 2023/02/09 19:19:54.296) #left_data: ,2.13,3.47,1.59,0.18,0.0,1.05,3.86,2.79
( 2023/02/09 19:19:54.362) #left_data: ,2.44,3.4,1.69,0.27,0.0,1.01,2.56,1.45
( 2023/02/09 19:19:54.422) #left_data: ,2.5,3.11,1.76,0.34,0.0,0.94,0.9,1.16
( 2023/02/09 19:19:54.483) #left_data: ,2.85,3.18,2.03,0.47,0.0,0.99,1.24,0.86
( 2023/02/09 19:19:54.549) #left_data: ,3.82,3.86,2.79,1.19,0.0,1.18,0.83,0.41
( 2023/02/09 19:19:54.623) #left_data: ,5.66,5.12,4.12,1.99,0.0,1.07,0.18,0.04
( 2023/02/09 19:19:54.692) #left_data: ,6.97,5.42,4.35,1.3,0.0,0.36,0.0,0.0
( 2023/02/09 19:19:54.752) #left_data: ,6.57,2.06,1.18,0.5,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:54.813) #left_data: ,0.49,0.0,0.08,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:54.881) #left_data: ,0.25,0.0,0.07,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:54.950) #left_data: ,0.13,0.0,0.05,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:55.016) #left_data: ,0.1,0.0,0.09,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:55.075) #left_data: ,0.1,0.0,0.09,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:55.136) #left_data: ,0.11,0.0,0.09,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:55.205) #left_data: ,0.13,0.0,0.11,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:55.277) #left_data: ,0.04,0.0,0.03,0.0,0.0,0.0,0.35,0.19
( 2023/02/09 19:19:55.342) #left_data: ,0.19,0.21,0.22,0.13,0.0,0.3,0.9,1.03
( 2023/02/09 19:19:55.403) #left_data: ,0.53,0.96,1.09,0.81,0.0,0.89,3.86,2.73
( 2023/02/09 19:19:55.465) #left_data: ,1.13,1.37,0.84,1.22,0.0,1.13,4.4,3.25
