( 2023/02/09 14:30:00.440) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/09 14:30:37.633) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.09,0.13
( 2023/02/09 14:30:37.697) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.09,0.13
( 2023/02/09 14:30:37.763) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.09,0.13
( 2023/02/09 14:30:37.834) #right_data: ,0.04,0,0.06,0.06,0,0.12,0.09,0.13
( 2023/02/09 14:30:37.907) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:37.981) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:38.046) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:38.113) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:38.183) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:38.254) #right_data: ,0.03,0,0.07,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:38.322) #right_data: ,0.03,0,0.07,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:38.384) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.1,0.12
( 2023/02/09 14:30:38.443) #right_data: ,0.03,0,0.06,0.06,0,0.13,0.1,0.12
( 2023/02/09 14:30:38.511) #right_data: ,0.03,0,0.06,0.06,0,0.13,0.1,0.13
( 2023/02/09 14:30:38.580) #right_data: ,0.03,0,0.06,0.05,0,0.13,0.1,0.12
( 2023/02/09 14:30:38.651) #right_data: ,0.03,0,0.06,0.05,0,0.13,0.1,0.12
( 2023/02/09 14:30:38.722) #right_data: ,0.03,0,0.06,0.05,0,0.12,0.1,0.13
( 2023/02/09 14:30:38.788) #right_data: ,0.03,0,0.06,0.05,0,0.12,0.1,0.13
( 2023/02/09 14:30:38.859) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.1,0.13
( 2023/02/09 14:30:38.929) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.1,0.13
( 2023/02/09 14:30:38.991) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.09,0.13
( 2023/02/09 14:30:39.057) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.09,0.13
( 2023/02/09 14:30:39.123) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.09,0.13
( 2023/02/09 14:30:39.193) #right_data: ,0.04,0,0.06,0.04,0,0.11,0.09,0.14
( 2023/02/09 14:30:39.263) #right_data: ,0.04,0,0.06,0.04,0,0.11,0.09,0.14
( 2023/02/09 14:30:39.327) #right_data: ,0.04,0,0.06,0.04,0,0.11,0.09,0.14
( 2023/02/09 14:30:39.388) #right_data: ,0.04,0,0.06,0.04,0,0.11,0.09,0.14
( 2023/02/09 14:30:39.452) #right_data: ,0.04,0,0.06,0.04,0,0.11,0.09,0.14
( 2023/02/09 14:30:39.521) #right_data: ,0.04,0,0.06,0.04,0,0.11,0.09,0.13
( 2023/02/09 14:30:39.598) #right_data: ,0.04,0,0.06,0.04,0,0.11,0.09,0.13
( 2023/02/09 14:30:39.662) #right_data: ,0.04,0,0.06,0.04,0,0.11,0.09,0.13
( 2023/02/09 14:30:39.723) #right_data: ,0.04,0,0.05,0.04,0,0.11,0.09,0.13
( 2023/02/09 14:30:39.790) #right_data: ,0.04,0,0.05,0.04,0,0.11,0.09,0.13
( 2023/02/09 14:30:39.861) #right_data: ,0.04,0,0.05,0.04,0,0.11,0.09,0.13
( 2023/02/09 14:30:39.934) #right_data: ,0.04,0,0.05,0.04,0,0.11,0.09,0.13
( 2023/02/09 14:30:40.003) #right_data: ,0.04,0,0.05,0.04,0,0.11,0.1,0.13
( 2023/02/09 14:30:40.062) #right_data: ,0.04,0,0.05,0.04,0,0.11,0.1,0.13
( 2023/02/09 14:30:40.122) #right_data: ,0.04,0,0.05,0.04,0,0.11,0.1,0.13
( 2023/02/09 14:30:40.190) #right_data: ,0.04,0,0.05,0.04,0,0.11,0.1,0.13
( 2023/02/09 14:30:40.258) #right_data: ,0.04,0,0.05,0.04,0,0.11,0.1,0.13
( 2023/02/09 14:30:40.327) #right_data: ,0.04,0,0.05,0.04,0,0.11,0.1,0.13
( 2023/02/09 14:30:40.388) #right_data: ,0.04,0,0.05,0.04,0,0.11,0.1,0.13
( 2023/02/09 14:30:40.450) #right_data: ,0.04,0,0.05,0.04,0,0.11,0.1,0.13
( 2023/02/09 14:30:40.516) #right_data: ,0.04,0,0.05,0.04,0,0.12,0.1,0.13
( 2023/02/09 14:30:40.587) #right_data: ,0.04,0,0.05,0.04,0,0.12,0.1,0.13
( 2023/02/09 14:30:40.657) #right_data: ,0.04,0,0.05,0.04,0,0.12,0.1,0.13
( 2023/02/09 14:30:40.720) #right_data: ,0.04,0,0.05,0.04,0,0.12,0.1,0.13
( 2023/02/09 14:30:40.779) #right_data: ,0.04,0,0.05,0.04,0,0.12,0.1,0.13
( 2023/02/09 14:30:40.845) #right_data: ,0.04,0,0.05,0.04,0,0.12,0.1,0.13
( 2023/02/09 14:30:40.915) #right_data: ,0.04,0,0.05,0.04,0,0.12,0.1,0.13
( 2023/02/09 14:30:40.988) #right_data: ,0.04,0,0.05,0.04,0,0.12,0.1,0.13
( 2023/02/09 14:30:41.053) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.1,0.13
( 2023/02/09 14:30:41.112) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.1,0.13
( 2023/02/09 14:30:41.178) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.09,0.13
( 2023/02/09 14:30:41.246) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.09,0.13
( 2023/02/09 14:30:41.315) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.09,0.13
( 2023/02/09 14:30:41.377) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.09,0.13
( 2023/02/09 14:30:41.437) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.09,0.13
( 2023/02/09 14:30:41.503) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.09,0.13
( 2023/02/09 14:30:41.572) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.09,0.13
( 2023/02/09 14:30:41.642) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.09,0.13
( 2023/02/09 14:30:41.705) #right_data: ,0.04,0,0.06,0.04,0,0.12,0.09,0.13
( 2023/02/09 14:30:41.764) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.09,0.13
( 2023/02/09 14:30:41.831) #right_data: ,0.04,0,0.06,0.05,0,0.12,0.09,0.13
( 2023/02/09 14:30:41.899) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:41.967) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.030) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.089) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.156) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.221) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.287) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.348) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.410) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.476) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.546) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.617) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.685) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.745) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.810) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.878) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:42.953) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.020) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.080) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.137) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.208) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.276) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.344) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.406) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.464) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.528) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.595) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.665) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.730) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.791) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.856) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.923) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:43.995) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:44.056) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:44.116) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:44.182) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:44.250) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:44.319) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:44.380) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:44.440) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:44.507) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:44.577) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:44.644) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:44.710) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:44.770) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:44.838) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:44.909) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:44.979) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:45.045) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:45.109) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:45.172) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:45.238) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:45.308) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:45.375) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:45.436) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:45.497) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:45.565) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:45.635) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:45.706) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:45.768) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:45.828) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:45.893) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:45.962) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:46.029) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:46.091) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:46.151) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:46.216) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:46.283) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:46.351) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:46.412) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:46.472) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:46.538) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:46.605) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:46.674) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:46.734) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:46.794) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:46.858) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:46.929) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:46.999) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:47.061) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:47.120) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:47.181) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:47.253) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:47.317) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:47.379) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:47.439) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:47.497) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:47.562) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:47.635) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:47.702) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:47.763) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:47.824) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:47.890) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:47.959) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:48.028) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:48.088) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:48.148) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:48.213) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:48.275) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:48.337) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:48.397) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:48.457) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:48.517) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:48.584) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:48.651) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:48.712) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:48.771) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:48.829) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:48.895) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:48.958) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:49.022) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:49.084) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:49.145) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:49.211) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:49.279) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:49.347) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:49.409) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:49.467) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:49.533) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:49.602) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:49.669) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:49.730) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:49.789) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:49.854) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:49.925) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:49.996) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:50.057) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:50.117) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:50.181) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:50.248) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:50.318) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:50.379) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:50.437) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:50.494) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:50.560) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:50.630) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:50.696) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:50.758) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:50.817) #right_data: ,0.04,0,0.06,0.05,0,0.13,0.09,0.13
( 2023/02/09 14:30:50.881) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:50.950) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
( 2023/02/09 14:30:51.020) #right_data: ,0.04,0,0.06,0.06,0,0.13,0.09,0.13
