( 2023/02/10 13:30:53.246) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/10 13:31:27.444) #left_data: ,0.02,0.0,0.0,0.0,0.0,0.0,0.39,1.18
( 2023/02/10 13:31:27.509) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.17,1.13
( 2023/02/10 13:31:27.573) #left_data: ,0.02,0.0,0.0,0.0,0.0,0.0,1.11,0.9
( 2023/02/10 13:31:27.641) #left_data: ,0.04,0.0,0.0,0.0,0.0,0.0,1.08,0.89
( 2023/02/10 13:31:27.715) #left_data: ,0.04,0.0,0.0,0.0,0.0,0.0,1.08,0.89
( 2023/02/10 13:31:27.787) #left_data: ,0.04,0.0,0.0,0.0,0.0,0.0,1.1,0.88
( 2023/02/10 13:31:27.852) #left_data: ,0.04,0.0,0.01,0.0,0.0,0.0,1.13,0.94
( 2023/02/10 13:31:27.913) #left_data: ,0.05,0.0,0.01,0.0,0.0,0.0,1.14,0.92
( 2023/02/10 13:31:27.983) #left_data: ,0.04,0.0,0.01,0.0,0.0,0.0,1.08,0.85
( 2023/02/10 13:31:28.060) #left_data: ,0.03,0.0,0.01,0.0,0.0,0.0,1.07,0.85
( 2023/02/10 13:31:28.131) #left_data: ,0.03,0.0,0.01,0.0,0.0,0.0,1.03,0.82
( 2023/02/10 13:31:28.195) #left_data: ,0.03,0.0,0.0,0.0,0.0,0.0,1.0,0.8
( 2023/02/10 13:31:28.260) #left_data: ,0.02,0.0,0.0,0.0,0.0,0.0,1.0,0.8
( 2023/02/10 13:31:28.338) #left_data: ,0.02,0.0,0.0,0.0,0.0,0.0,1.0,0.8
( 2023/02/10 13:31:28.416) #left_data: ,0.03,0.0,0.01,0.0,0.0,0.0,1.03,0.82
( 2023/02/10 13:31:28.482) #left_data: ,0.03,0.0,0.01,0.0,0.0,0.0,1.03,0.82
( 2023/02/10 13:31:28.543) #left_data: ,0.03,0.0,0.01,0.0,0.0,0.0,1.03,0.82
( 2023/02/10 13:31:28.607) #left_data: ,0.03,0.0,0.01,0.0,0.0,0.0,1.03,0.83
( 2023/02/10 13:31:28.675) #left_data: ,0.03,0.0,0.01,0.0,0.0,0.0,1.04,0.84
( 2023/02/10 13:31:28.750) #left_data: ,0.03,0.0,0.01,0.0,0.0,0.0,1.1,0.88
( 2023/02/10 13:31:28.818) #left_data: ,0.03,0.0,0.01,0.0,0.0,0.0,1.07,0.85
( 2023/02/10 13:31:28.878) #left_data: ,0.03,0.0,0.01,0.0,0.0,0.0,1.08,0.86
( 2023/02/10 13:31:28.942) #left_data: ,0.03,0.0,0.0,0.0,0.0,0.0,1.02,0.81
( 2023/02/10 13:31:29.012) #left_data: ,0.03,0.0,0.0,0.0,0.0,0.0,1.02,0.81
( 2023/02/10 13:31:29.084) #left_data: ,0.03,0.0,0.01,0.0,0.0,0.0,1.05,0.83
( 2023/02/10 13:31:29.155) #left_data: ,0.03,0.0,0.01,0.0,0.0,0.0,1.03,0.81
