( 2023/02/09 15:46:50.487) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/09 15:47:58.224) #left_data: ,0,0,0,0.05,0,0,0,0
( 2023/02/09 15:47:58.285) #left_data: ,0,0,0,0.06,0,0,0,0
( 2023/02/09 15:47:58.349) #left_data: ,0,0,0,0.06,0,0,0,0
( 2023/02/09 15:47:58.414) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:58.475) #left_data: ,0,0,0.01,0.08,0,0,0,0
( 2023/02/09 15:47:58.533) #left_data: ,0,0,0.01,0.08,0,0,0,0
( 2023/02/09 15:47:58.592) #left_data: ,0,0,0.01,0.08,0,0,0,0
( 2023/02/09 15:47:58.655) #left_data: ,0,0,0.01,0.08,0,0,0,0
( 2023/02/09 15:47:58.719) #left_data: ,0,0,0.01,0.08,0,0,0,0
( 2023/02/09 15:47:58.783) #left_data: ,0,0,0.01,0.08,0,0,0,0
( 2023/02/09 15:47:58.840) #left_data: ,0,0,0.01,0.08,0,0,0,0
( 2023/02/09 15:47:58.899) #left_data: ,0,0,0,0.08,0,0,0,0
( 2023/02/09 15:47:58.962) #left_data: ,0,0,0,0.08,0,0,0,0
( 2023/02/09 15:47:59.027) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:59.092) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:59.157) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:59.215) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:59.274) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:59.337) #left_data: ,0,0,0,0.07,0,0,0,0
( 2023/02/09 15:47:59.404) #left_data: ,0,0,0,0.08,0,0,0,0
( 2023/02/09 15:47:59.473) #left_data: ,0,0,0,0.08,0,0,0,0
( 2023/02/09 15:47:59.530) #left_data: ,0,0,0,0.08,0,0,0,0
( 2023/02/09 15:47:59.590) #left_data: ,0,0,0,0.08,0,0,0,0
( 2023/02/09 15:47:59.659) #left_data: ,0,0,0.01,0.08,0,0,0,0
