( 2023/02/09 17:11:46.352) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/09 17:12:27.693) #right_data: ,5.86,2.67,1.23,0.92,0,0.01,0,0
( 2023/02/09 17:12:27.755) #right_data: ,0.52,0,0,0,0,0,0,0
( 2023/02/09 17:12:27.814) #right_data: ,0.57,0,0,0,0,0,0,0
( 2023/02/09 17:12:27.871) #right_data: ,0.76,0,0,0,0,0,0,0
( 2023/02/09 17:12:27.937) #right_data: ,0.83,0,0,0,0,0,0,0
( 2023/02/09 17:12:28.004) #right_data: ,0.78,0,0,0,0,0,0,0
( 2023/02/09 17:12:28.070) #right_data: ,0.79,0,0,0,0,0,0,0
( 2023/02/09 17:12:28.128) #right_data: ,0.44,0,0,0,0,0,0.55,1.2
( 2023/02/09 17:12:28.193) #right_data: ,0.69,0,0.01,0,0,0.11,5.99,5.01
( 2023/02/09 17:12:28.265) #right_data: ,1.18,0,0,0.16,0,0.68,6.49,5.24
( 2023/02/09 17:12:28.338) #right_data: ,1.83,0,0,0.91,0,1.12,5.86,4.8
( 2023/02/09 17:12:28.399) #right_data: ,2.28,0,0,1.14,0,1.49,4.75,3.99
( 2023/02/09 17:12:28.460) #right_data: ,2.36,0,0,0.2,0,1.89,2.92,2.61
( 2023/02/09 17:12:28.526) #right_data: ,2.06,0,0,0.69,0,2.21,0.72,1.3
( 2023/02/09 17:12:28.593) #right_data: ,2.06,0,0,0.69,0,2.21,0.72,1.3
( 2023/02/09 17:12:28.660) #right_data: ,1.57,0,0.42,1.16,0,2.13,1.09,1.06
( 2023/02/09 17:12:28.722) #right_data: ,2.03,0.02,0.68,1.23,0,1.92,1.36,1.16
( 2023/02/09 17:12:28.783) #right_data: ,4.35,1.18,0.12,1.8,0.01,1.39,0.61,0.48
( 2023/02/09 17:12:28.849) #right_data: ,5.24,1.63,0.98,1.74,0,1.05,0,0
( 2023/02/09 17:12:28.921) #right_data: ,5.18,0.18,0.07,0.14,0,0,0,0
( 2023/02/09 17:12:28.993) #right_data: ,5.18,0.18,0.07,0.14,0,0,0,0
( 2023/02/09 17:12:29.059) #right_data: ,0.49,0,0,0,0,0,0,0
( 2023/02/09 17:12:29.120) #right_data: ,0.51,0,0,0,0,0,0,0
( 2023/02/09 17:12:29.185) #right_data: ,0.53,0,0,0,0,0,0,0
( 2023/02/09 17:12:29.251) #right_data: ,0.66,0,0,0,0,0,0,0
( 2023/02/09 17:12:29.318) #right_data: ,0.6,0,0,0,0,0,0,0
( 2023/02/09 17:12:29.385) #right_data: ,0.64,0,0,0,0,0,0,0
( 2023/02/09 17:12:29.445) #right_data: ,0.34,0,0,0,0,0,2.98,2.67
( 2023/02/09 17:12:29.511) #right_data: ,0.34,0,0,0,0,0,2.98,2.67
( 2023/02/09 17:12:29.580) #right_data: ,0.99,0,0,0.03,0,0.63,6.65,6.34
( 2023/02/09 17:12:29.651) #right_data: ,3.25,0,0,1.01,0,0.81,6.06,4.96
( 2023/02/09 17:12:29.722) #right_data: ,3.36,0,0,1.17,0,0.88,5.01,4.03
( 2023/02/09 17:12:29.786) #right_data: ,3.66,0,0.36,0.32,0,0.94,2.34,1.55
( 2023/02/09 17:12:29.846) #right_data: ,3.66,0,0.36,0.32,0,0.94,2.34,1.55
( 2023/02/09 17:12:29.903) #right_data: ,4.54,0.68,1.05,0.38,0,0.36,0.77,0.73
( 2023/02/09 17:12:29.968) #right_data: ,4.9,1.1,0.06,0.63,0,0.33,0.53,0.47
( 2023/02/09 17:12:30.036) #right_data: ,5.92,1.53,1.55,1.59,0,0.84,0,0
( 2023/02/09 17:12:30.097) #right_data: ,5.24,0.83,0.7,1.25,0,0.33,0,0
( 2023/02/09 17:12:30.158) #right_data: ,2.28,0,0,0.07,0,0,0,0
( 2023/02/09 17:12:30.224) #right_data: ,0.42,0,0,0,0,0,0,0
