( 2023/02/09 19:29:05.637) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/09 19:29:17.059) #left_data: ,4.21,2.92,3.58,3.25,0.0,1.37,0.41,0.0
( 2023/02/09 19:29:17.132) #left_data: ,4.21,0.49,1.09,1.01,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:17.195) #left_data: ,1.21,0.14,0.43,0.48,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:17.258) #left_data: ,0.27,0.0,0.01,0.04,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:17.326) #left_data: ,0.2,0.0,0.04,0.06,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:17.396) #left_data: ,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:17.464) #left_data: ,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:17.531) #left_data: ,0.54,0.0,0.02,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:17.595) #left_data: ,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:17.664) #left_data: ,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:17.735) #left_data: ,5.86,2.7,3.05,1.92,0.0,0.97,0.0,0.0
( 2023/02/09 19:29:17.804) #left_data: ,6.13,4.17,3.78,3.11,0.09,2.08,1.14,0.6
( 2023/02/09 19:29:17.869) #left_data: ,5.99,4.17,3.82,2.98,0.06,1.41,0.68,0.31
( 2023/02/09 19:29:17.932) #left_data: ,4.85,3.18,2.89,2.61,0.02,1.01,0.75,0.49
( 2023/02/09 19:29:17.995) #left_data: ,4.59,2.7,2.26,2.31,0.01,0.34,0.12,0.33
( 2023/02/09 19:29:18.066) #left_data: ,4.59,2.7,2.26,2.31,0.01,0.34,0.12,0.33
( 2023/02/09 19:29:18.136) #left_data: ,5.36,3.05,2.56,1.74,0.0,0.89,0.39,0.0
( 2023/02/09 19:29:18.203) #left_data: ,5.92,3.47,3.01,2.28,0.0,1.16,0.61,0.0
( 2023/02/09 19:29:18.265) #left_data: ,5.92,3.47,3.01,2.28,0.0,1.16,0.61,0.0
( 2023/02/09 19:29:18.327) #left_data: ,6.27,2.76,3.18,2.79,0.0,0.77,0.0,0.0
( 2023/02/09 19:29:18.393) #left_data: ,6.27,0.63,0.05,0.2,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:18.454) #left_data: ,3.62,0.33,0.22,0.15,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:18.514) #left_data: ,0.21,0.0,0.01,0.1,0.0,0.0,0.01,0.0
( 2023/02/09 19:29:18.574) #left_data: ,0.1,0.0,0.04,0.08,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:18.635) #left_data: ,0.22,0.0,0.04,0.09,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:18.708) #left_data: ,0.44,0.0,0.0,0.05,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:18.777) #left_data: ,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:18.838) #left_data: ,0.44,0.0,0.03,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:18.898) #left_data: ,0.44,0.0,0.03,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:18.959) #left_data: ,0.37,0.02,0.07,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:19.026) #left_data: ,0.37,0.02,0.07,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:19.099) #left_data: ,3.05,0.79,2.44,1.01,0.0,0.15,0.0,0.0
( 2023/02/09 19:29:19.166) #left_data: ,3.05,0.79,2.44,1.01,0.0,0.15,0.0,0.0
( 2023/02/09 19:29:19.226) #left_data: ,3.86,2.23,3.51,3.29,0.04,2.5,0.47,0.02
( 2023/02/09 19:29:19.286) #left_data: ,3.86,2.23,3.51,3.29,0.04,2.5,0.47,0.02
( 2023/02/09 19:29:19.349) #left_data: ,4.3,1.74,3.51,3.36,0.0,1.63,0.0,0.0
( 2023/02/09 19:29:19.418) #left_data: ,5.12,1.67,2.92,2.76,0.0,0.2,0.02,0.0
( 2023/02/09 19:29:19.486) #left_data: ,5.36,1.26,2.21,2.44,0.0,0.66,0.18,0.0
( 2023/02/09 19:29:19.545) #left_data: ,5.86,1.49,2.42,2.92,0.0,0.3,0.22,0.0
( 2023/02/09 19:29:19.603) #left_data: ,6.49,2.13,2.82,2.98,0.0,0.84,0.03,0.0
( 2023/02/09 19:29:19.665) #left_data: ,6.72,2.23,2.79,2.85,0.0,0.6,0.0,0.0
( 2023/02/09 19:29:19.729) #left_data: ,6.34,1.21,1.94,1.94,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:19.796) #left_data: ,3.32,0.06,0.51,0.83,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:19.859) #left_data: ,0.31,0.0,0.0,0.14,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:19.918) #left_data: ,0.14,0.0,0.03,0.16,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:19.981) #left_data: ,0.28,0.0,0.0,0.07,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:20.049) #left_data: ,0.25,0.0,0.0,0.03,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:20.120) #left_data: ,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:20.187) #left_data: ,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:20.249) #left_data: ,0.14,0.02,0.04,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:20.316) #left_data: ,0.0,0.0,0.05,0.06,0.0,0.01,1.09,1.08
( 2023/02/09 19:29:20.387) #left_data: ,0.0,0.0,0.05,0.06,0.0,0.01,1.09,1.08
( 2023/02/09 19:29:20.515) #left_data: ,0.84,0.94,1.21,1.19,0.01,1.51,1.74,0.84
( 2023/02/09 19:29:20.576) #left_data: ,0.35,0.58,1.16,0.61,0.05,1.85,3.32,1.96
( 2023/02/09 19:29:20.637) #left_data: ,1.04,1.36,1.43,0.63,0.05,1.25,3.82,2.23
( 2023/02/09 19:29:20.707) #left_data: ,1.3,1.67,1.61,0.58,0.03,0.81,3.58,2.01
( 2023/02/09 19:29:20.775) #left_data: ,1.07,1.45,1.47,0.36,0.02,0.59,3.82,2.34
( 2023/02/09 19:29:20.839) #left_data: ,1.78,1.96,2.36,1.18,0.02,0.96,2.13,1.25
( 2023/02/09 19:29:20.899) #left_data: ,1.78,1.96,2.36,1.18,0.02,0.96,2.13,1.25
( 2023/02/09 19:29:20.960) #left_data: ,2.92,2.56,2.7,1.45,0.02,0.93,1.39,0.84
( 2023/02/09 19:29:21.026) #left_data: ,4.69,3.15,3.18,1.65,0.02,1.02,0.82,0.09
( 2023/02/09 19:29:21.100) #left_data: ,4.69,3.15,3.18,1.65,0.02,1.02,0.82,0.09
( 2023/02/09 19:29:21.179) #left_data: ,6.34,2.73,3.22,0.91,0.0,0.56,0.0,0.0
( 2023/02/09 19:29:21.239) #left_data: ,1.25,0.0,0.12,0.14,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:21.300) #left_data: ,1.25,0.0,0.12,0.14,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:21.367) #left_data: ,0.25,0.0,0.0,0.02,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:21.440) #left_data: ,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:21.507) #left_data: ,0.3,0.0,0.01,0.07,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:21.566) #left_data: ,0.29,0.0,0.01,0.07,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:21.627) #left_data: ,0.26,0.0,0.02,0.04,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:21.693) #left_data: ,0.21,0.0,0.03,0.02,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:21.762) #left_data: ,0.21,0.0,0.03,0.02,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:21.831) #left_data: ,0.23,0.0,0.05,0.03,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:21.893) #left_data: ,0.16,0.0,0.08,0.44,0.0,0.4,4.26,3.25
( 2023/02/09 19:29:21.953) #left_data: ,0.48,0.11,0.18,0.6,0.0,0.78,5.12,3.91
( 2023/02/09 19:29:22.022) #left_data: ,0.63,0.43,0.58,0.86,0.0,0.29,5.86,4.8
( 2023/02/09 19:29:22.091) #left_data: ,0.63,0.43,0.58,0.86,0.0,0.29,5.86,4.8
( 2023/02/09 19:29:22.160) #left_data: ,1.02,0.81,0.89,1.22,0.04,1.41,5.66,3.99
( 2023/02/09 19:29:22.228) #left_data: ,1.19,1.0,1.09,0.44,0.08,1.8,5.12,2.89
( 2023/02/09 19:29:22.289) #left_data: ,1.19,1.0,1.09,0.44,0.08,1.8,5.12,2.89
( 2023/02/09 19:29:22.354) #left_data: ,0.04,1.0,1.24,0.7,0.06,1.96,3.74,1.61
( 2023/02/09 19:29:22.426) #left_data: ,0.1,0.89,1.23,0.87,0.04,2.08,3.47,0.94
( 2023/02/09 19:29:22.495) #left_data: ,0.1,0.89,1.23,0.87,0.04,2.08,3.47,0.94
( 2023/02/09 19:29:22.561) #left_data: ,0.27,0.56,1.14,1.65,0.03,2.67,4.59,1.92
( 2023/02/09 19:29:22.622) #left_data: ,0.39,0.49,1.13,1.8,0.03,2.58,3.82,1.19
( 2023/02/09 19:29:22.683) #left_data: ,0.39,0.49,1.13,1.8,0.03,2.58,3.82,1.19
( 2023/02/09 19:29:22.751) #left_data: ,0.4,0.0,0.09,0.29,0.0,0.03,0.25,0.04
( 2023/02/09 19:29:22.819) #left_data: ,0.19,0.0,0.03,0.1,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:22.886) #left_data: ,0.19,0.0,0.02,0.03,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:22.945) #left_data: ,0.53,0.0,0.0,0.01,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:23.006) #left_data: ,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:23.072) #left_data: ,0.32,0.0,0.02,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:23.147) #left_data: ,0.27,0.0,0.02,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:23.214) #left_data: ,1.99,0.89,1.17,0.69,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:23.274) #left_data: ,4.3,4.3,4.96,4.21,0.02,2.85,0.03,0.09
( 2023/02/09 19:29:23.335) #left_data: ,3.47,3.29,4.59,4.26,0.03,3.11,1.07,0.71
( 2023/02/09 19:29:23.404) #left_data: ,2.39,1.87,3.82,4.08,0.03,3.29,0.82,0.61
( 2023/02/09 19:29:23.473) #left_data: ,1.39,0.15,3.22,4.12,0.01,3.25,0.44,0.07
