( 2023/02/10 13:30:53.254) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/10 13:31:27.452) #right_data: ,0.04,0.08,0.06,0.0,0.0,0.0,0.32,0.23
( 2023/02/10 13:31:27.517) #right_data: ,0.05,0.08,0.06,0.0,0.0,0.0,0.32,0.23
( 2023/02/10 13:31:27.580) #right_data: ,0.05,0.1,0.07,0.0,0.0,0.0,0.31,0.23
( 2023/02/10 13:31:27.649) #right_data: ,0.05,0.09,0.07,0.0,0.0,0.0,0.31,0.23
( 2023/02/10 13:31:27.725) #right_data: ,0.05,0.1,0.07,0.0,0.0,0.0,0.31,0.23
( 2023/02/10 13:31:27.796) #right_data: ,0.05,0.06,0.06,0.0,0.0,0.0,0.33,0.26
( 2023/02/10 13:31:27.858) #right_data: ,0.03,0.05,0.06,0.0,0.0,0.0,0.33,0.27
( 2023/02/10 13:31:27.920) #right_data: ,0.03,0.03,0.04,0.0,0.0,0.01,0.37,0.33
( 2023/02/10 13:31:27.993) #right_data: ,0.03,0.03,0.04,0.0,0.0,0.0,0.36,0.32
( 2023/02/10 13:31:28.070) #right_data: ,0.03,0.04,0.04,0.0,0.0,0.01,0.37,0.33
( 2023/02/10 13:31:28.138) #right_data: ,0.03,0.04,0.05,0.0,0.0,0.01,0.36,0.33
( 2023/02/10 13:31:28.201) #right_data: ,0.05,0.07,0.06,0.0,0.0,0.0,0.33,0.3
( 2023/02/10 13:31:28.268) #right_data: ,0.06,0.1,0.07,0.0,0.0,0.0,0.3,0.23
( 2023/02/10 13:31:28.351) #right_data: ,0.07,0.11,0.08,0.0,0.0,0.0,0.29,0.22
( 2023/02/10 13:31:28.425) #right_data: ,0.08,0.12,0.1,0.0,0.0,0.0,0.29,0.21
( 2023/02/10 13:31:28.488) #right_data: ,0.08,0.12,0.1,0.0,0.0,0.0,0.29,0.21
( 2023/02/10 13:31:28.548) #right_data: ,0.08,0.15,0.1,0.0,0.0,0.0,0.29,0.21
( 2023/02/10 13:31:28.614) #right_data: ,0.08,0.14,0.11,0.0,0.0,0.0,0.29,0.22
( 2023/02/10 13:31:28.685) #right_data: ,0.08,0.14,0.11,0.0,0.0,0.0,0.3,0.22
( 2023/02/10 13:31:28.761) #right_data: ,0.06,0.12,0.09,0.0,0.0,0.0,0.31,0.23
( 2023/02/10 13:31:28.822) #right_data: ,0.05,0.11,0.08,0.0,0.0,0.0,0.3,0.23
( 2023/02/10 13:31:28.884) #right_data: ,0.05,0.12,0.08,0.0,0.0,0.0,0.31,0.24
( 2023/02/10 13:31:28.951) #right_data: ,0.05,0.12,0.07,0.0,0.0,0.0,0.29,0.2
( 2023/02/10 13:31:29.022) #right_data: ,0.05,0.12,0.07,0.0,0.0,0.0,0.29,0.21
( 2023/02/10 13:31:29.095) #right_data: ,0.05,0.11,0.07,0.0,0.0,0.0,0.31,0.23
( 2023/02/10 13:31:29.194) #right_data: ,0.05,0.12,0.07,0.0,0.0,0.0,0.29,0.19
( 2023/02/10 13:31:29.255) #right_data: ,0.04,0.11,0.07,0.0,0.0,0.0,0.29,0.21
( 2023/02/10 13:31:29.322) #right_data: ,0.04,0.12,0.07,0.0,0.0,0.0,0.31,0.22
( 2023/02/10 13:31:29.393) #right_data: ,0.05,0.12,0.08,0.0,0.0,0.0,0.33,0.29
( 2023/02/10 13:31:29.466) #right_data: ,0.05,0.12,0.08,0.0,0.0,0.0,0.34,0.3
( 2023/02/10 13:31:29.531) #right_data: ,0.05,0.12,0.08,0.0,0.0,0.0,0.37,0.33
( 2023/02/10 13:31:29.592) #right_data: ,0.05,0.12,0.07,0.0,0.0,0.0,0.33,0.31
( 2023/02/10 13:31:29.660) #right_data: ,0.05,0.12,0.07,0.0,0.0,0.0,0.35,0.32
( 2023/02/10 13:31:29.734) #right_data: ,0.05,0.13,0.07,0.0,0.0,0.0,0.32,0.27
( 2023/02/10 13:31:29.806) #right_data: ,0.05,0.13,0.07,0.0,0.0,0.0,0.31,0.26
( 2023/02/10 13:31:29.869) #right_data: ,0.05,0.13,0.07,0.0,0.0,0.0,0.33,0.3
( 2023/02/10 13:31:29.931) #right_data: ,0.05,0.13,0.08,0.0,0.0,0.0,0.33,0.31
( 2023/02/10 13:31:29.997) #right_data: ,0.05,0.13,0.08,0.0,0.0,0.0,0.33,0.31
( 2023/02/10 13:31:30.068) #right_data: ,0.05,0.11,0.06,0.0,0.0,0.0,0.39,0.36
( 2023/02/10 13:31:30.142) #right_data: ,0.04,0.1,0.06,0.0,0.0,0.0,0.4,0.37
( 2023/02/10 13:31:30.206) #right_data: ,0.04,0.1,0.05,0.0,0.0,0.0,0.41,0.37
( 2023/02/10 13:31:30.268) #right_data: ,0.04,0.09,0.05,0.0,0.0,0.0,0.41,0.37
( 2023/02/10 13:31:30.333) #right_data: ,0.04,0.09,0.05,0.0,0.0,0.0,0.4,0.37
( 2023/02/10 13:31:30.405) #right_data: ,0.04,0.08,0.05,0.0,0.0,0.0,0.41,0.37
( 2023/02/10 13:31:30.480) #right_data: ,0.04,0.08,0.05,0.0,0.0,0.0,0.42,0.38
( 2023/02/10 13:31:30.544) #right_data: ,0.04,0.09,0.05,0.0,0.0,0.0,0.42,0.38
( 2023/02/10 13:31:30.604) #right_data: ,0.04,0.07,0.05,0.0,0.0,0.0,0.42,0.38
( 2023/02/10 13:31:30.671) #right_data: ,0.03,0.06,0.05,0.0,0.0,0.0,0.43,0.39
( 2023/02/10 13:31:30.742) #right_data: ,0.03,0.06,0.05,0.0,0.0,0.0,0.43,0.41
( 2023/02/10 13:31:30.821) #right_data: ,0.03,0.04,0.03,0.0,0.0,0.0,0.44,0.41
( 2023/02/10 13:31:30.887) #right_data: ,0.03,0.04,0.02,0.0,0.0,0.0,0.44,0.42
( 2023/02/10 13:31:30.945) #right_data: ,0.03,0.03,0.02,0.0,0.0,0.0,0.44,0.41
( 2023/02/10 13:31:31.008) #right_data: ,0.02,0.03,0.02,0.0,0.0,0.0,0.45,0.43
( 2023/02/10 13:31:31.075) #right_data: ,0.01,0.01,0.02,0.0,0.0,0.0,0.45,0.46
( 2023/02/10 13:31:31.145) #right_data: ,0.01,0.0,0.01,0.0,0.0,0.0,0.5,0.5
( 2023/02/10 13:31:31.208) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.53
( 2023/02/10 13:31:31.270) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.54
( 2023/02/10 13:31:31.335) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.52
( 2023/02/10 13:31:31.405) #right_data: ,0.01,0.0,0.0,0.0,0.0,0.0,0.54,0.52
